,Section Text
603,"With a view to ascertaining the fair market value of a capital asset for the purposes of this Chapter, the 7[Assessing Officer] may refer the valuation of capital asset to a Valuation Officerâ€”
(a) in a case where the value of the asset as claimed by the assessee is in accordance with the estimate made by a registered valuer, if the 7[Assessing Officer] is of opinion that the value so claimed 8[is at variance with its fair market value];
(b) in any other case, if the 1[Assessing Officer] is of opinionâ€”
(i) that the fair market value of the asset exceeds the value of the asset as claimed by the assessee by more than such percentage of the value of the asset as so claimed or by more than such amountas may be prescribed in this behalf; or
(ii) that having regard to the nature of the asset and other relevant circumstances, it is necessary so to do,
and where any such reference is made, the provisions of sub-sections (2), (3), (4), (5) and (6) of section 16A, clauses (ha) and (i) of sub-section (1) and sub-sections (3A) and (4) of section 23, sub-section (5) of section 24, section 34AA, section 35 and section 37 of the Wealth-tax Act, 1957 (27 of 1957), shall with the necessary modifications, apply in relation to such reference as they apply in relation to a reference made by the 1[Assessing Officer] under sub-section (1) of section 16A of that Act.
Explanation.â€”In this section, â€œValuation Officerâ€ has the same meaning, as in clause (r) of section 2 of the Wealth-tax Act, 1957 (27 of 1957).]
"
604,"(1) Income of every kind which is not to be excluded from the total income under this Act shall be chargeable to income-tax under the head â€œIncome from other sourcesâ€, if it is not chargeable to income-tax under any of the heads specified in section 14, items A to E.
(2) In particular, and without prejudice to the generality of the provisions of sub-section (1), the following incomes, shall be chargeable to income-tax under the head â€œIncome from other sourcesâ€, namely:â€”
(i) dividends;
2[(ia) income referred to in sub-clause (viii) of clause (24) of section 2;]
3[(ib) income referred to in sub-clause (ix) of clause (24) of section 2;]
4[(ic) income referred to in sub-clause (x) of clause (24) of section 2, if such income is not chargeable to income-tax under the head â€œProfits and gains of business or professionâ€;]
5[(id) income by way of interest on securities, if the income is not chargeable to income-tax under the head â€œProfits and gains of business or professionâ€;]
(ii) income from machinery, plant or furniture belonging to the assessee and let on hire, if the income is not chargeable to income-tax under the head â€œProfits and gains of business or professionâ€;
(iii) where an assessee lets on hire machinery, plant or furniture belonging to him and also buildings, and the letting of the buildings is inseparable from the letting of the said machinery, plant or furniture, the income from such letting, if it is not chargeable to income-tax under the head â€œProfits and gains of business or professionâ€;
6[(iv) income referred to in sub-clause (xi) of clause (24) of section 2, if such income is not chargeable to income-tax under the head â€œProfits and gains of business or professionâ€ or under the head â€œSalariesâ€;]
1[(v) where any sum of money exceeding twenty-five thousand rupees is received without consideration by an individual or a Hindu undivided family from any person on or after the 1st day of September, 2004 2[but before the 1st day of April, 2006], the whole of such sum:
Provided that this clause shall not apply to any sum of money receivedâ€”
(a) from any relative; or
(b) on the occasion of the marriage of the individual; or
(c) under a will or by way of inheritance; or
(d) in contemplation of death of the payer; or
3[(e) from any local authority as defined in the Explanation to clause (20) of section 10; or
(f) from any fund or foundation or university or other educational institution or hospital or other medical institution or any trust or institution referred to in clause (23C) of section 10; or
(g) from any trust or institution registered under section 12AA.]
Explanation.â€”For the purposes of this clause, â€œrelativeâ€ meansâ€”
(i) spouse of the individual;
(ii) brother or sister of the individual;
(iii) brother or sister of the spouse of the individual;
(iv) brother or sister of either of the parents of the individual;
(v) any lineal ascendant or descendant of the individual;
(vi) any lineal ascendant or descendant of the spouse of the individual;
(vii) spouse of the person referred to in clauses (ii) to (vi);]
4[(vi) where any sum of money, the aggregate value of which exceeds fifty thousand rupees, is received without consideration, by an individual or a Hindu undivided family, in any previous year from any person or persons on or after the 1st day of April, 2006 5[but before the 1st day of October, 2009], the whole of the aggregate value of such sum:
Explanation.â€”For the purposes of this clause,â€”
(a) â€œassessableâ€ shall have the meaning assigned to it in the Explanation 2 to sub-section (2) of section 50C;
(b) â€œfair market valueâ€ of a property, other than an immovable property, means the value determined in accordance with the method as may be prescribed;
(c) â€œjewelleryâ€ shall have the meaning assigned to it in the Explanation to sub-clause (ii) of clause (14) of section 2;
(d) â€œpropertyâ€ 3[means the following capital asset of the assessee, namely:â€”]
(i) immovable property being land or building or both;
(ii) shares and securities;
(iii) jewellery;
(iv) archaeological collections;
(v) drawings;
(vi) paintings;
(vii) sculptures; 4***
(viii) any work of art; 5[or]
5[(ix) bullion;]
1[(e) â€œrelativeâ€ means,â€”
(ii) in case of a Hindu undivided family, any member thereof;]
(f) â€œstamp duty valueâ€ means the value adopted or assessed or assessable by any authority of the Central Government or a State Government for the purpose of payment of stamp duty in respect of an immovable property;]
Explanation.â€”For the purposes of this clause, â€œfair market valueâ€ of a property, being shares of a company not being a company in which the public are substantially interested, shall have the meaning assigned to it in the Explanation to clause (vii);]
1[(viib) where a company, not being a company in which the public are substantially interested, receives, in any previous year, from any person being a resident, any consideration for issue of shares that exceeds the face value of such shares, the aggregate consideration received for such shares as exceeds the fair market value of the shares:
Provided that this clause shall not apply where the consideration for issue of shares is receivedâ€”
(i) by a venture capital undertaking from a venture capital company or a venture capital fund; or
(ii) by a company from a class or classes of persons as may be notified by the Central Government in this behalf.
Explanation.â€”For the purposes of this clause,â€”
(a) the fair market value of the shares shall be the valueâ€”
(i) as may be determined in accordance with such method as may be prescribed; or
(ii) as may be substantiated by the company to the satisfaction of the Assessing Officer, based on the value, on the date of issue of shares, of its assets, including intangible assets being goodwill, know-how, patents, copyrights, trademarks, licences, franchises or any other business or commercial rights of similar nature,
whichever is higher;
(b) â€œventure capital companyâ€, â€œventure capital fundâ€ and â€œventure capital undertakingâ€ shall have the meanings respectively assigned to them in clause (a), clause (b) and clause (c) of 2[Explanation] to clause (23FB) of section 10;]
3[(viii) income by way of interest received on compensation or on enhanced compensation referred to in clause (b) of section 145A;]
2[(xi) any compensation or other payment, due to or received by any person, by whatever name called, in connection with the termination of his employment or the modification of the terms and conditions relating thereto.]
"
605,"The income chargeable under the head â€œIncome from other sourcesâ€ shall be computed after making the following deductions, namely:â€”
(i) 1[in the case of dividends, other than dividends referred to in section 115-O], 2[or interest on securities], any reasonable sum paid by way of commission or remuneration to a banker or any other person for the purpose of realising such dividend 2[or interest] on behalf of the assessee;
3[(ia) in the case of income of the nature referred to in sub-clause (x) of clause (24) of section 2 which is chargeable to income-tax under the head â€œIncome from other sourcesâ€, deductions, so far as may be, in accordance with the provisions of clause (va) of sub-section (1) of section 36;]
(ii) in the case of income of the nature referred to in clauses (ii) and (iii) of sub-section (2) of section 56, deductions, so far as may be, in accordance with the provisions of sub-clause (ii) of clause (a) and clause (c) of section 30, section 31 and 4[sub-sections (1) 5*** and (2) of section 32] and subject to the provisions of 6[section 38];
7[(iia) in the case of income in the nature of family pension, a deduction of a sum equal to thirty-three and one-third per cent of such income or 8[fifteen thousand rupees], whichever is less.
Explanation.â€”For the purposes of this clause, â€œfamily pensionâ€ means a regular monthly amount payable by the employer to a person belonging to the family of an employee in the event of his death;]
(iii) any other expenditure (not being in the nature of capital expenditure) laid out or expended wholly and exclusively for the purposeof making or earning such income;
9[(iv) in the case of income of the nature referred to in clause (viii) of sub-section (2) of section 56, a deduction of a sum equal to fifty per cent of such income and no deduction shall be allowed under any other clause of this section.]
10* * * * *
11* * * * *
"
606,"12[(1)] Notwithstanding anything to the contrary contained in section 57, the following amounts shall not be deductible in computing the income chargeable under the head â€œIncome from other sourcesâ€, namely:â€”
(a) in the case of any assessee,â€”
(i) any personal expenses of the assessee;
13[(ia) any expenditure of the nature referred to in sub-section (12) of section 40A;]
(ii) any interest chargeable under this Act which is payable outside India (not being interest on a loan issued for public subscription before the 1st day of April, 1938) on which tax has not been paid or deducted under Chapter XVII-B 14***;
(iii) any payment which is chargeable under the head â€œSalariesâ€, if it is payable outside India, unless tax has been paid thereon or deducted therefrom under Chapter XVII-B;
1* * * * *
2* * * * *
3[(1A) The provisions of 4[sub-clauses (ia) and (iia)] of clause (a) of section 40 shall, so far as may be, apply in computing the income chargeable under the head â€œIncome from other sourcesâ€ as they apply in computing the income chargeable under the head â€œProfits and gains of business or professionâ€.]
5[(2) The provisions of section 40A shall, so far as may be, apply in computing the income chargeable under the head â€œIncome from other sourcesâ€ as they apply in computing the income chargeable under the head â€œProfits and gains of business or professionâ€.]
6[(3) In the case of an assessee, being a foreign company, the provisions of section 44D shall, so far as may be, apply in computing the income chargeable under the head â€œIncome from other sourcesâ€ as they apply in computing the income chargeable under the head â€œProfits and gains of business or professionâ€.]
7[(4) In the case of an assessee having income chargeable under the head â€œIncome from other sourcesâ€, no deduction in respect of any expenditure or allowance in connection with such income shall be allowed under any provision of this Act in computing the income by way of any winnings from lotteries, crossword puzzles, races including horse races, card games and other games of any sort or from gambling or betting of any form or nature, whatsoever:
Provided that nothing contained in this sub-section shall apply in computing the income of an assessee, being the owner of horses maintained by him for running in horse races, from the activity of owning and maintaining such horses.
Explanation.â€”For the purposes of this sub-section, â€œhorse raceâ€ means a horse race upon which wagering or betting may be lawfully made.]
"
607,"(1) The provisions of sub-section (1) of section 41 shall apply, so far as may be, in computing the income of an assessee under section 56, as they apply in computing the income of an assessee under the head â€œProfits and gains of business or professionâ€.
8* * * * *
9* * * * *
"
608,"All income arising to any person by virtue of a transfer whether revocable or not and whether effected before or after the commencement of this Act shall, where there is no transfer of the assets from which the income arises, be chargeable to income-tax as the income of the transferor and shall be included in his total income.
"
609,"All income arising to any person by virtue of a revocable transfer of assets shall be chargeable to income-tax as the income of the transferor and shall be included in his total income.
"
610,"(1) The provisions of section 61 shall not apply to any income arising to any person by virtue of a transferâ€”
(i) by way of trust which is not revocable during the lifetime of the beneficiary, and, in the case of any other transfer, which is not revocable during the lifetime of the transferee; or
(ii) made before the 1st day of April, 1961, which is not revocable for a period exceeding six years:
Provided that the transferor derives no direct or indirect benefit from such income in either case.
(2) Notwithstanding anything contained in sub-section (1), all income arising to any person by virtue of any such transfer shall be chargeable to income-tax as the income of the transferor as and when the power to revoke the transfer arises, and shall then be included in his total income.
"
611,"For the purposes of sections 60, 61 and 62 and of this section,â€”
(a) a transfer shall be deemed to be revocable ifâ€”
(i) it contains any provision for the re-transfer directly or indirectly of the whole or any part of the income or assets to the transferor, or
(ii) it, in any way, gives the transferor a right to re-assume power directly or indirectly over the whole or any part of the income or assets ;
(b) â€œtransferâ€ includes any settlement, trust, covenant, agreement or arrangement.
"
612,"1[2[(1)] In computing the total income of any individual, there shall be included all such income as arises directly or indirectlyâ€”
3 * * * * *
(ii) to the spouse of such individual by way of salary, commission, fees or any other form of remuneration whether in cash or in kind from a concern in which such individual has a substantial interest:
4[Provided that nothing in this clause shall apply in relation to any income arising to the spouse where the spouse possesses technical or professional qualifications and the income is solely attributable to the application of his or her technical or professional knowledge and experience ;
5* * * * *
(iv) subject to the provisions of clause (i) of section 27, 6*** to the spouse of such individual from assets transferred directly or indirectly to the spouse by such individual otherwise than for adequate consideration or in connection with an agreement to live apart;
7* * * * *
(vi) to the sonâ€™s wife, 8*** of such individual, from assets transferred directly or indirectly on or after the 1st day of June, 1973, to the sonâ€™s wife 7*** by such individual otherwise than for adequate consideration; 9***
(vii) to any person or association of persons from assets transferred directly or indirectly otherwise than for adequate consideration to the person or association of persons by such individual, to the extent to which the income from such assets is for the immediate or deferred benefit of his or her spouse; 10*** and
1[(viii) to any person or association of persons from assets transferred directly or indirectly on or after the 1st day of June, 1973, otherwise than for adequate consideration, to the person or association of persons by such individual, to the extent to which the income from such assets is for the immediate or deferred benefit of his sonâ€™s wife 2***.]
3[Explanation 1.â€”For the purposes of clause (ii), the individual in computing whose total income the income referred to in that clause is to be included, shall be the husband or wife whose total income (excluding the income referred to in that clause) is greater ; and where any such income is once included in the total income of either spouse, any such income arising in any succeeding year shall not be included in the total income of the other spouse unless the Assessing Officer is satisfied, after giving that spouse an opportunity of being heard, that it is necessary so to do.]
Explanation 2.â€”For the purposes of clause (ii), an individual shall be deemed to have a substantial interest in a concernâ€”
(i) in a case where the concern is a company, if its shares (not being shares entitled to a fixed rate of dividend whether with or without a further right to participate in profits) carrying not less than twenty per cent of the voting power are, at any time during the previous year, owned beneficially by such person or partly by such person and partly by one or more of his relatives;
(ii) in any other case, if such person is entitled, or such person and one or more of his relatives are entitled in the aggregate, at any time during the previous year, to not less than twenty per cent of the profits of such concern.
4* * * * *
5[Explanation 3.â€”For the purposes of clauses (iv) and (vi), where the assets transferred directly or indirectly by an individual to his spouse or son's wife (hereafter in this Explanation referred to as â€œthe transfereeâ€) are invested by the transferee,â€”
(i) in any business, such investment being not in the nature of contribution of capital as a partner in a firm or, as the case may be, for being admitted to the benefits of partnership in a firm, that part of the income arising out of the business to the transferee in any previous year, which bears the same proportion to the income of the transferee from the business as the value of the assets aforesaid as on the first day of the previous year bears to the total investment in the business by the transferee as on the said day;
(ii) in the nature of contribution of capital as a partner in a firm, that part of the interest receivable by the transferee from the firm in any previous year, which bears the same proportion to the interest receivable by the transferee from the firm as the value of investment aforesaid as on the first day of the previous year bears to the total investment by way of capital contribution as a partner in the firm as on the said day,
shall be included in the total income of the individual in that previous year.]
6[(1A) In computing the total income of any individual, there shall be included all such income as arises or accrues to his minor child 7[, not being a minor child suffering from any disability of the nature specified in section 80U:]
Provided that nothing contained in this sub-section shall apply in respect of such income as arises or accrues to the minor child on account of anyâ€”
(a) manual work done by him; or
(b) activity involving application of his skill, talent or specialised knowledge and experience.
Explanation.â€”For the purposes of this sub-section, the income of the minor child shall be included,â€”
(a) where the marriage of his parents subsists, in the income of that parent whose total income (excluding the income includible under this sub-section) is greater ; or
(b) where the marriage of his parents does not subsist, in the income of that parent who maintains the minor child in the previous year,
and where any such income is once included in the total income of either parent, any such income arising in any succeeding year shall not be included in the total income of the other parent, unless the Assessing Officer is satisfied, after giving that parent an opportunity of being heard, that it is necessary so to do.]
1[(2) Where, in the case of an individual being a member of a Hindu undivided family, any property having been the separate property of the individual has, at any time after the 31st day of December, 1969, been converted by the individual into property belonging to the family through the act of impressing such separate property with the character of property belonging to the family or throwing it 2[into the common stock of the family or been transferred by the individual, directly or indirectly, to the family otherwise than for adequate consideration (the property so converted or transferred being hereinafter referred to as the converted property)], then, notwithstanding anything contained in any other provision of this Act or in any other law for the time being in force, for the purpose of computation of the total income of the individual under this Act for any assessment year commencing on or after the 1st day of April, 1971,â€”
(a) the individual shall be deemed to have transferred the converted property, through the family, to the members of the family for being held by them jointly ;
(b) the income derived from the converted property or any part thereof 3*** shall be deemed to arise to the individual and not to the family ;
4[(c) where the converted property has been the subject-matter of a partition (whether partial or total) amongst the members of the family, the income derived from such converted property as is received by the spouse 5*** on partition shall be deemed to arise to the spouse 5*** from assets transferred indirectly by the individual to the spouse 5*** and the provisions of sub-section (1) shall, so far as may be, apply accordingly:]
Provided that the income referred to in clause (b) or clause (c) shall, on being included in the total income of the individual, be excluded from the total income of the family or, as the case may be, the spouse 5*** of the individual.
Explanation 6[1].â€”For the purposes of sub-section (2),â€”
7*** â€œpropertyâ€ includes any interest in property, movable or immovable, the proceeds of sale thereof and any money or investment for the time being representing the proceeds of sale thereof and where the property is converted into any other property by any method, such other property.
8* * * * *
9[Explanation 2.â€”For the purposes of this section, â€œincomeâ€ includes loss.]
"
613,"Where, by reason of the provisions contained in this Chapter or in clause (i) of section 27, the income from any asset or from membership in a firm of a person other than the assessee is included in the total income of the assessee, the person in whose name such asset stands or who is a member of the firm shall, notwithstanding anything to the contrary contained in any other law for the time being in force, be liable, on the service of a notice of demand by the 1[Assessing Officer] in this behalf, to pay that portion of the tax levied on the assessee which is attributable to the income so included, and the provisions of Chapter XVII-D shall, so far as may be, apply accordingly:
Provided that where any such asset is held jointly by more than one person, they shall be jointly and severally liable to pay the tax which is attributable to the income from the assets so included.
"
614,"In computing the total income of an assessee, there shall be included all income on which no income-tax is payable under Chapter VII2***.
"
615,"[Method of computing a partnerâ€™s share in the income of the firm.] Omitted by the Finance Act, 1992, (18 of 1992), s. 36 (w.e.f. 1-4-1993). Earlier amended by Act 19 of 1968, s. 30 and the Third Schedule (w.e.f. 1-4-1969), Act 32 of 1971, s. 13 (w.e.f. 1-4-1971), subs. by Act 4 of 1988, s. 18 (w.e.f. 1- 4-1988) or restored by Act 3 of 1989, s. 95 (w.e.f. 1-4-1989).
"
616,"(1) In computing the total income of an assessee who is a member of an association of persons or a body of individuals wherein the shares of the members are determinate and known [other than a company or a cooperative society or a society registered under the Societies Registration Act, 1860 (21 of 1860), or under any law corresponding to that Act in force in any part of India], whether the net result of the computation of the total income of such association or body is a profit or a loss, his share (whether a net profit or net loss) shall be computed as follows, namely:â€”
(a) any interest, salary, bonus, commission or remuneration by whatever name called, paid to any member in respect of the previous year shall be deducted from the total income of the association or body and the balance ascertained and apportioned among the members in the proportions in which they are entitled to share in the income of the association or body;
(b) where the amount apportioned to a member under clause (a) is a profit, any interest, salary, bonus, commission or remuneration aforesaid paid to the member by the association or body in respect of the previous year shall be added to that amount, and the result shall be treated as the member's share in the income of the association or body;
(c) where the amount apportioned to a member under clause (a) is a loss, any interest, salary, bonus, commission or remuneration aforesaid paid to the member by the association or body in respect of the previous year shall be adjusted against that amount, and the result shall be treated as the memberâ€™s share in the income of the association or body.
(2) The share of a member in the income or loss of the association or body, as computed under sub-section (1), shall, for the purposes of assessment, be apportioned under the various heads of income in the same manner in which the income or loss of the association or body has been determined under each head of income.
(3) Any interest paid by a member on capital borrowed by him for the purposes of investment in the association or body shall, in computing his share chargeable under the head â€œProfits and gains of business or professionâ€ in respect of his share in the income of the association or body, be deducted from his share.
Explanation.â€”In this section, â€œpaidâ€ has the same meaning as is assigned to it in clause (2) of section 43.]
"
617,"Where any sum is found credited in the books of an assessee maintained for any previous year, and the assessee offers no explanation about the nature and source thereof or the explanation offered by him is not, in the opinion of the 1[Assessing Officer], satisfactory, the sum so credited may be charged to income-tax as the income of theassessee of that previous year:
2[Provided that where the assessee is a company (not being a company in which the public are substantially interested), and the sum so credited consists of share application money, share capital, share premium or any such amount by whatever name called, any explanation offered by such assessee- company shall be deemed to be not satisfactory, unlessâ€”
(a) the person, being a resident in whose name such credit is recorded in the books of such company also offers an explanation about the nature and source of such sum so credited; and
(b) such explanation in the opinion of the Assessing Officer aforesaid has been found to be satisfactory:
Provided further that nothing contained in the first proviso shall apply if the person, in whose name the sum referred to therein is recorded, is a venture capital fund or a venture capital company as referred to in clause (23FB)of section 10.]
"
618,"Where in the financial year immediately preceding the assessment year the assessee has made investments which are not recorded in the books of account, if any, maintained by him for any source of income, and the assessee offers no explanation about the nature and source of the investments or the explanation offered by him is not, in the opinion of the 1[Assessing Officer], satisfactory, the value of the investments may be deemed to be the income of the assessee of such financial year.
"
619,"Where in any financial year the assessee is found to be the owner of any money, bullion, jewellery or other valuable article and such money, bullion, jewellery or valuable article is not recorded in the books of account, if any, maintained by him for any source of income, and the assessee offers no explanation about the nature and source of acquisition of the money, bullion, jewellery or other valuable article, or the explanation offered by him is not, in the opinion of the 1[Assessing Officer], satisfactory, the money and the value of the bullion,jewellery or other valuable article may be deemed to be the income of the assessee for such financial year.]
"
620,"Where in any financial year the assessee has made investments or is found to be the owner of any bullion, jewellery or other valuable article, and the 1[Assessing Officer] finds that the amount expended on making such investments or in acquiring such bullion, jewellery or other valuable article exceeds the amount recorded in this behalf in the books of account maintained by the assessee for any source of income, and the assessee offers no explanation about such excess amount or the explanation offered by him is not, in the opinion of the 1[Assessing Officer], satisfactory, the excess amount may be deemed to be the income of the assessee for such financial year.]
"
621,"Where in any financial year an assessee has incurred any expenditure and he offers no explanation about the source of such expenditure or part thereof, or the explanation, if any, offered by him is not, in the opinion of the 1[Assessing Officer], satisfactory, the amount covered by such expenditure or part thereof, as the case may be, may be deemed to be the income of the assessee for such financial year:
4[Provided that, notwithstanding anything contained in any other provision of this Act, such unexplained expenditure which is deemed to be the income of the assessee shall not be allowed as a deduction under any head of income.]
"
622,"Where any amount is borrowed on a hundi from, or any amount due thereon is repaid to, any person otherwise than through an account payee cheque drawn on a bank, the amount so borrowed or repaid shall be deemed to be the income of the person borrowing or repaying the amount aforesaid for the previous year in which the amount was borrowed or repaid, as the case may be:
Provided that, if in any case any amount borrowed on a hundi has been deemed under the provisions of this section to be the income of any person, such person shall not be liable to be assessed again in respect of such amount under the provisions of this section on repayment of such amount.
Explanation.â€”For the purposes of this section, the amount repaid shall include the amount of interest paid on the amount borrowed.]
"
623,"(1) Save as otherwise provided in this Act, where the net result for any assessment year in respect of any source falling under any head of income, other than â€œCapital gainsâ€, is a loss, the assessee shall be entitled to have the amount of such loss set off against his income from any other source under the same head.
(2) Where the result of the computation made for any assessment year under sections 48 to 55in respect of any short-term capital asset is a loss, the assessee shall be entitled to have the amount of such loss set off against the income, if any, as arrived at under a similar computation made for the assessment year in respect of any other capital asset.
(3) Where the result of the computation made for any assessment year under sections 48 to 55 in respect of any capital asset (other than a short-term capital asset) is a loss, the assessee shall be entitled to have the amount of such loss set off against the income, if any, as arrived at under a similar computation made for the assessment year in respect of any other capital asset not being a short-term capital asset.]
"
624,"(1) Where in respect of any assessment year the net result of the computation under any head of income, other than â€œCapital gainsâ€, is a loss and the assessee has no income under the head â€œCapital gainsâ€, he shall, subject to the provisions of this Chapter, be entitled to have the amount of such loss set off against his income, if any, assessable for that assessment year under any other head.
(2) Where in respect of any assessment year, the net result of the computation under any head of income, other than â€œCapital gainsâ€, is a loss and the assessee has income assessable under the head â€œCapital gainsâ€, such loss may, subject to the provisions of this Chapter, be set off against his income, if any, assessable for that assessment year under any head of income including the head â€œCapital gainsâ€ (whether relating to short-term capital assets or any other capital assets).
2[(2A) Notwithstanding anything contained in sub-section (1) or sub-section (2), where in respect of any assessment year, the net result of the computation under the head â€œProfits and gains of business or professionâ€ is a loss and the assessee has income assessable under the head â€œSalariesâ€, the assessee shall not be entitled to have such loss set off against such income.]
(3) Where in respect of any assessment year, the net result of the computation under the head â€œCapital gainsâ€ is a loss and the assessee has income assessable under any other head of income, the assessee shall not be entitled to have such loss set off against income under the other head.]
3[(3A) Notwithstanding anything contained in sub-section (1) or sub-section (2), where in respect of any assessment year, the net result of the computation under the head â€œIncome from house propertyâ€ is a loss and the assessee has income assessable under any other head of income, the assessee shall not be entitled to set off such loss, to the extent the amount of the loss exceeds two lakh rupees, against income under the other head.]
4[(4) Where the net result of the computation under the head â€œIncome from house propertyâ€ is a loss, in respect of the assessment years commencing on the 1st day of April, 1995 and the 1st day of April, 1996, such loss shall be first set off under sub-sections (1) and (2) and thereafter the loss referred to in section 71A shall be set off in the relevant assessment year in accordance with the provisions of that section.]
"
625,"Where in respect of the assessment year commencing on the 1st day of April, 1993 or the 1st day of April, 1994, the net result of the computation under the head â€œIncome from house propertyâ€ is a loss, such loss in so far as it relates to interest on borrowed capital referred to in clause (vi) of sub-section (1) of section 24 and to the extent it has not been set off shall be carried forward and set off in the assessment year commencing on the 1st day of April, 1995, and the balance, if any, in the assessment year commencing on the 1st day of April, 1996, against the income under any head.]
"
626,"Where for any assessment year the net result of computation under the head â€œIncome from house propertyâ€ is a loss to the assessee and such loss cannot be or is not wholly set off against income from any other head of income in accordance with the provisions of section 71, so much of the loss as has not been so set-off or where he has no income under any other head, the whole loss shall, subject to the other provisions of this Chapter, be carried forward to the following assessment year andâ€”
(i) be set off against the income from house property assessable for that assessment year; and
(ii) the loss, if any, which has not been set off wholly, the amount of loss not so set off,
shall be carried forward to the following assessment year, not being more than eight assessment years immediately succeeding the assessment year for which the loss was first computed.]
"
627,"2[(1) Where for any assessment year, the net result of the computation under the head â€œProfits and gains of business or professionâ€ is a loss to the assessee, not being a loss sustained in a speculation business, and such loss cannot be or is not wholly set off against income under any head of income in accordance with the provisions of section 71, so much of the loss as has not been so set off or, 3*** where he has no income under any other head, the whole loss shall, subject to the other provisions of this Chapter, be carried forward to the following assessment year, andâ€”
(i) it shall be set off against the profits and gains, if any, of any business or profession carried on by him and assessable for that assessment year;
4* * * * *
(ii) if the loss cannot be wholly so set off, the amount of loss not so set off shall be carried forward to the following assessment year and so on:]
5[Provided that where the whole or any part of such loss is sustained in any such business as is referred to in section 33B which is discontinued in the circumstances specified in that section, and, thereafter, at any time before the expiry of the period of three years referred to in that section, such business is re-established, reconstructed or revived by the assessee, so much of the loss as is attributable to such business shall be carried forward to the assessment year relevant to the previous year in which the business is so re-established, reconstructed or revived, andâ€”
(a) it shall be set off against the profits and gains, if any, of that business or any other business carried on by him and assessable for that assessment year; and
(b) if the loss cannot be wholly so set off, the amount of loss not so set off shall, in case the business so re-established, reconstructed or revived continues to be carried on by the assessee, be carried forward to the following assessment year and so on for seven assessment years immediately succeeding.]
(2) Where any allowance or part thereof is, under sub-section (2) of section 32 or sub-section (4) of section 35, to be carried forward, effect shall first be given to the provisions of this section.
(3) No loss 1[(other than the loss referred to in the proviso to sub-section (1) of this section)] shall be carried forward under this section for more than eight assessment years immediately succeeding the assessment year for which the loss was first computed.
"
